,index,countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,e_avg
15,33,Brazil,215.795,222.814,227.973,238.635,247.666,262.355,274.892,292.601,304.712,313.062,328.898,306.761,321.121,339.095,356.268,371.314,386.089,406.422,422.566,420.532,459.308,475.893,492.256,508.512,522.392,514.399,513.854,520.29717,530.582039,538.014256,529.50563011949,382.72851919740293
16,44,South Korea,94.384,104.374,115.245,127.733,146.54,163.27,182.47,200.783,193.47,214.215,263.122,281.572,300.786,318.062,337.938,357.627,371.354,392.656,408.042,414.69,458.473,480.958,492.568,498.162,499.046,506.645,530.142,538.384461,545.483938,538.37059049797,525.53026546979,342.00310499895994
17,19,United Kingdom,284.416,290.842,291.453,295.746,291.782,303.805,319.778,321.066,325.35,332.054,340.297,342.505,344.109,346.616,347.721,357.195,353.863,351.449,350.1,330.018,337.509,325.918,325.483,324.321,310.807,311.012,311.296,306.79289,306.584397,302.31001928842,286.02117802199,321.55546723581966
18,12,Italy,218.778,223.687,228.069,228.964,236.555,243.465,245.954,253.674,260.809,267.284,279.319,285.491,290.96,299.788,304.49,309.845,317.566,318.954,319.036,299.915,309.883,313.791,307.222,297.289,291.085,297.18,295.509,301.880515,303.44297,301.6654434603,285.71190894434,281.8471883033755
19,47,Pacific,165.3848792,168.43420966667,169.53087333333,174.825068,178.78178182946,184.31626618131,189.39766725345,195.50689965627,205.91302093023,212.276416,217.69750295349,226.88820680523,237.65831746948,234.16839139051,240.1105679478,240.91128296534,245.6272405814,255.639542,256.146164,260.55437316168,265.62715449573,268.63410033333,266.13175327563,265.62769093806,265.76953353846,270.47125588034,271.04707637607,274.55597691453,279.56213247552,283.76399383148,276.03905122654,233.77414163262387
20,17,Spain,129.161,132.075,134.252,134.101,139.998,145.537,151.516,163.44,169.673,181.652,194.709,207.297,211.866,224.266,237.038,248.469,254.04,257.643,260.96,247.161,250.169,248.835,245.503,235.181,233.306,238.545,239.821,246.542,245.769,241.84386211705,227.84930536673,208.97477959625095
21,48,Australia,134.339,136.949,138.566,142.69,146.499,151.119,155.147,160.346,170.054,175.457,179.852,188.035,197.742,193.791,198.266,198.66,202.515,212.145,213.009,217.361,220.848,224.154,222.051,221.831,221.331,225.318,226.384,229.874,233.553,236.08242407272,229.39013393786,193.65672767776064
22,54,South Africa,140.711,140.172,140.69,146.077,151.597,157.042,183.18,190.871,185.539,182.937,190.231,181.286,193.529,195.656,198.824,204.041,210.473,219.151,213.463,205.315,213.586,216.439,209.055,208.621,211.216,206.983,220.02,219.080385,220.748618,218.59906730826,208.0342501337,193.00539743361162
23,36,Mexico,100.194,102.532,106.12,109.88,118.458,122.669,111.286,120.013,129.429,137.219,148.338,151.303,154.976,177.498,186.797,194.558,199.077,208.381,214.61,211.272,221.091,238.955,253.065,246.503,256.779,261.85,274.21,275.859317,286.959745,282.45576553026,274.14109572508,189.56383623404324
24,45,Taiwan,78.81,87.078,93.025,101.385,108.65,115.837,123.146,131.766,142.544,149.186,163.759,166.526,175.907,185.255,195.126,203.202,209.977,217.089,214.345,205.504,222.215,226.92,226.382,230.486,235.99,234.759,240.119,245.410278,250.211614,248.51044182775,254.1625231468,183.33170506369513
25,58,Saudi Arabia,63.633,67.437,74.112,82.198,85.909,89.642,92.229,97.051,105.611,110.612,114.161,122.943,128.628,142.195,144.385,153.284,163.151,169.78,181.098,193.472,212.263,219.662,262.746,279.36,303.481,318.947,322.432,324.689597,321.567668,310.11420376637,306.79972558202,179.47074820478676
26,56,Iran,50.12,54.398,59.203,63.095,66.521,68.843,75.081,79.314,83.839,90.105,96.042,102.914,110.833,121.645,131.19,137.25,148.685,156.524,166.179,174.054,187.931,191.455,201.558,207.216,223.957,213.654,243.73,255.026299,262.66017,262.99507243729,269.08346725007,146.93874221572128
27,25,Ukraine,229.737,223.894,207.964,182.298,158.029,148.878,134.039,128.952,122.335,117.819,115.759,122.166,123.384,129.117,135.098,137.897,143.603,148.719,148.315,134.21,148.188,152.084,149.817,147.505,133.857,124.45,123.624,121.3686,122.455,119.51676797628,116.49700358373,143.59920553419386
28,21,Turkey,46.82,49.283,53.985,59.237,61.401,67.394,74.157,81.885,87.704,91.202,98.296,97.068,102.948,111.766,121.142,130.263,143.07,155.135,161.949,156.894,172.05,186.1,194.923,198.045,207.375,217.313,231.204,249.022646,258.232177,257.35135189902,258.63630230943,141.3500476518855
29,18,Sweden,130.737,132.335,130.053,130.598,129.613,132.389,132.299,132.04,132.883,132.686,135.408,138.51,136.655,134.617,135.414,135.418,135.357,135.641,133.256,127.944,136.634,128.961,132.116,129.341,126.845,129.275,132.057,132.003,131.859,128.31681262323,123.46990708259,132.08808773244579
30,41,Indonesia,28.288,31.482,34.964,38.961,44.669,49.749,56.932,64.464,65.261,71.335,79.164,84.52,87.086,90.441,100.097,107.705,113.415,121.614,128.81,136.053,147.297,157.993,173.991,187.541,198.602,202.845,216.004,223.13372,256.091353,267.98897273804,265.87687235335,123.62496509972223
31,14,Poland,109.195,102.833,98.444,99.335,100.003,103.81,107.293,108.851,108.661,107.026,108.818,109.139,107.657,111.462,114.798,115.659,121.279,124.741,127.35,122.303,129.424,132.388,133.278,134.481,136.308,138.927,143.764,146.425464,151.402779,149.91398315581,144.65429718088,120.95559752698998
32,46,Thailand,38.344,43.399,49.305,56.279,62.51,71.225,77.354,82.429,80.434,81.45,87.932,92.29,100.173,106.959,115.044,121.229,127.811,133.178,135.45,135.209,149.32,148.7,161.749,164.322,168.788,174.053,184.96,185.368999,188.048,194.24589670105,187.6866149462,119.52404873055643
33,20,Norway,97.698,99.903,100.441,101.932,102.923,104.965,104.141,104.894,110.455,110.224,110.918,113.785,110.464,104.559,109.692,114.241,111.22,114.947,116.592,113.423,120.178,114.579,118.356,119.094,116.57,119.526,122.263,122.988,126.144508,125.23949775553,123.39954617559,112.44369522358453
34,13,Netherlands,74.074,76.306,78.006,79.381,82.723,83.649,87.221,90.377,93.656,95.776,98.592,100.64,102.128,103.804,106.306,108.481,109.62,111.925,112.733,108.799,112.3,112.958,108.902,110.321,107.291,109.928,111.445,112.273784,114.036007,113.56560280351,111.40183787818,100.92320102199001
35,52,Egypt,36.202,37.975,39.009,40.762,42.563,44.555,49.139,52.63,56.53,60.806,64.33,69.174,74.12,79.642,85.088,92.085,98.094,106.595,98.167,105.475,123.716,124.722,125.847,123.468,133.197,138.467,134.451,146.553979,153.756389,154.73264644357,153.13185141083,91.7736730920774
36,32,Argentina,40.464,42.287,45.16,48.568,52.376,56.006,58.976,63.406,68.647,71.313,75.153,76.259,74.889,79.873,84.542,89.391,95.489,99.944,105.158,105.349,110.594,115.916,118.374,120.944,126.266,132.09,131.951,129.022333,128.772703,125.64751281026,124.04983856632,90.22185120569614
37,43,Malaysia,19.945,22.388,25.795,28.494,34.098,39.251,43.927,50.986,53.235,55.999,61.205,65.056,68.877,73.42,77.252,80.755,84.573,89.358,92.881,102.92,110.853,111.852,120.638,127.377,128.419,132.552,144.121,146.617694,152.968127,157.74932292162,150.35471840296,85.61022136530903
38,8,Belgium,59.108,61.783,63.871,64.644,67.822,69.829,71.405,73.321,75.527,76.05,79.166,79.816,80.438,82.065,83.76,83.636,86.055,86.084,85.822,79.662,85.918,83.894,84.416,84.46,82.691,83.162,83.681,83.8655,84.3841,83.025536636063,81.722119054878,78.42204050615939
39,2,World,10121.212549776,10437.541826443,10525.915881229,10714.38172334,10995.869873757,11336.98390284,11693.89880182,11967.457429222,12250.242178184,12598.874032283,13180.709414267,13397.186067487,13843.157435385,14389.915803683,15031.711290002,15684.937747212,16327.932269254,17137.48959125,17431.612493443,17336.553259458,18546.764739793,19125.062553447,19614.31342496,20231.85567169,20634.650473303,20981.082869397,21642.350315162,22270.382333694,23174.316319123,23430.426885794,23175.956462677,69.11681373658799
40,37,Venezuela,47.148,50.448,54.048,55.511,55.927,57.454,58.679,60.085,61.167,60.345,63.21,65.71,67.062,66.47,71.628,73.101,77.367,78.17,79.94,82.738,83.51,86.715,89.663,99.018,74.197,84.273,73.42,70.153699,66.530345,64.42727823822,61.944911019317,69.03420107282376
